time,x_sp,xpos_
0.720371,0.751561,-1.26975
0.721339,0.750922,-1.26975
0.722339,0.750261,-1.26975
0.723337,0.749601,-1.26975
0.724431,0.748877,-1.26975
0.725405,0.748231,-1.26486
0.726578,0.747452,-1.26486
0.727335,0.746949,-1.26486
0.728458,0.746202,-1.26486
0.72938,0.745588,-1.26486
0.730345,0.744945,-1.26486
0.731345,0.744277,-1.26486
0.732353,0.743604,-1.26486
0.733336,0.742946,-1.26486
0.734637,0.742074,-1.26486
0.73536,0.741589,-1.26486
0.736449,0.740859,-1.26486
0.737375,0.740236,-1.25687
0.738372,0.739565,-1.25687
0.739375,0.73889,-1.25687
0.740344,0.738237,-1.25687
0.741428,0.737505,-1.25687
0.742408,0.736843,-1.25687
0.743371,0.736192,-1.25687
0.74441,0.735488,-1.25687
0.745388,0.734825,-1.25194
0.746348,0.734174,-1.25194
0.747371,0.733478,-1.25194
0.748353,0.73281,-1.25194
0.749414,0.732088,-1.25194
0.750816,0.731133,-1.25194
0.751338,0.730776,-1.25194
0.752383,0.730062,-1.25194
0.753333,0.729413,-1.25194
0.754332,0.728729,-1.25194
0.755331,0.728044,-1.25194
0.756341,0.727352,-1.25194
0.757331,0.726672,-1.24368
0.758331,0.725985,-1.24368
0.759329,0.725298,-1.24368
0.760366,0.724584,-1.24368
0.761371,0.723891,-1.24368
0.762356,0.723211,-1.24368
0.763389,0.722497,-1.24368
0.764366,0.721822,-1.24368
0.76544,0.721077,-1.23855
0.766432,0.72039,-1.23855
0.767442,0.719689,-1.23855
0.768387,0.719033,-1.23855
0.769344,0.718367,-1.23855
0.770333,0.717679,-1.23855
0.771333,0.716982,-1.23855
0.772333,0.716285,-1.23855
0.773331,0.715588,-1.23855
0.77434,0.714882,-1.23855
0.775364,0.714166,-1.23855
0.776336,0.713486,-1.23855
0.777357,0.71277,-1.23001
0.778348,0.712075,-1.23001
0.779333,0.711382,-1.23001
0.78035,0.710667,-1.23001
0.781342,0.709969,-1.23001
0.782463,0.709179,-1.23001
0.783388,0.708526,-1.23001
0.784392,0.707818,-1.23001
0.785338,0.707149,-1.22468
0.786371,0.706418,-1.22468
0.787337,0.705734,-1.22468
0.788345,0.70502,-1.22468
0.789344,0.704311,-1.22468
0.79036,0.703589,-1.22468
0.791476,0.702796,-1.22468
0.792365,0.702164,-1.22468
0.793383,0.701438,-1.22468
0.794334,0.70076,-1.22468
0.795334,0.700047,-1.22468
0.796342,0.699326,-1.22468
0.797366,0.698594,-1.21602
0.79841,0.697847,-1.21602
0.79938,0.697151,-1.21602
0.800456,0.69638,-1.21602
0.801352,0.695736,-1.21602
0.802337,0.695029,-1.21602
0.803337,0.694309,-1.21602
0.804426,0.693525,-1.21602
0.80534,0.692866,-1.21065
0.806334,0.692149,-1.21065
0.80734,0.691423,-1.21065
0.808357,0.690688,-1.21065
0.80934,0.689977,-1.21065
0.810338,0.689254,-1.21065
0.811345,0.688524,-1.21065
0.812359,0.687788,-1.21065
0.813337,0.687077,-1.21065
0.814477,0.686249,-1.21065
0.81535,0.685613,-1.21065
0.816391,0.684855,-1.21065
0.817337,0.684166,-1.20174
0.818332,0.683439,-1.20174
0.819329,0.682712,-1.20174
0.820347,0.681968,-1.20174
0.821334,0.681245,-1.20174
0.822337,0.680511,-1.20174
0.823335,0.679779,-1.20174
0.824366,0.679023,-1.20174
0.825337,0.678309,-1.19617
0.826497,0.677457,-1.19617
0.827352,0.676827,-1.19617
0.828366,0.67608,-1.19617
0.829336,0.675366,-1.19617
0.830337,0.674627,-1.19617
0.831395,0.673846,-1.19617
0.832393,0.673108,-1.19617
0.83338,0.672378,-1.19617
0.834332,0.671673,-1.19617
0.835334,0.67093,-1.19617
0.836352,0.670175,-1.19617
0.837334,0.669446,-1.18702
0.838333,0.668703,-1.18702
0.839334,0.667958,-1.18702
0.840358,0.667196,-1.18702
0.841362,0.666448,-1.18702
0.842345,0.665715,-1.18702
0.84334,0.664972,-1.18702
0.844362,0.664208,-1.18702
0.845351,0.663469,-1.1814
0.846464,0.662636,-1.1814
0.84738,0.661949,-1.1814
0.848402,0.661183,-1.1814
0.849408,0.660428,-1.1814
0.850337,0.65973,-1.1814
0.851336,0.658979,-1.1814
0.852334,0.658228,-1.1814
0.853337,0.657472,-1.1814
0.854331,0.656723,-1.1814
0.855331,0.655969,-1.1814
0.856344,0.655203,-1.1814
0.857378,0.654422,-1.17215
0.858733,0.653397,-1.17215
0.859333,0.652943,-1.17215
0.860338,0.652182,-1.17215
0.861341,0.651421,-1.17215
0.862486,0.650551,-1.17215
0.863366,0.649883,-1.17215
0.864372,0.649118,-1.17215
0.865364,0.648363,-1.16636
0.866348,0.647613,-1.16636
0.86783,0.646483,-1.16636
0.868357,0.646081,-1.16636
0.869343,0.645328,-1.16636
0.870334,0.644571,-1.16636
0.871332,0.643808,-1.16636
0.872336,0.643039,-1.16636
0.873338,0.642271,-1.16636
0.874361,0.641487,-1.16636
0.875338,0.640737,-1.16636
0.876339,0.639968,-1.16636
0.877334,0.639204,-1.15688
0.878509,0.6383,-1.15688
0.879354,0.637649,-1.15688
0.880382,0.636856,-1.15688
0.881355,0.636106,-1.15688
0.882364,0.635327,-1.15688
0.883367,0.634552,-1.15688
0.884349,0.633793,-1.15688
0.885334,0.633031,-1.15092
0.886334,0.632257,-1.15092
0.887332,0.631483,-1.15092
0.888339,0.630702,-1.15092
0.889335,0.629928,-1.15092
0.890337,0.62915,-1.15092
0.891472,0.628268,-1.15092
0.892425,0.627526,-1.15092
0.893397,0.626768,-1.15092
0.894902,0.625595,-1.15092
0.895344,0.62525,-1.15092
0.896503,0.624345,-1.15092
0.897482,0.62358,-1.15092
0.898393,0.622868,-1.14135
0.899374,0.6221,-1.14135
0.900379,0.621313,-1.14135
0.901373,0.620534,-1.14135
0.902373,0.61975,-1.14135
0.903342,0.618988,-1.14135
0.904349,0.618197,-1.14135
0.905335,0.617422,-1.13534
0.906357,0.616618,-1.13534
0.907401,0.615796,-1.13534
0.908498,0.614931,-1.13534
0.909359,0.614251,-1.13534
0.910339,0.613478,-1.13534
0.911336,0.61269,-1.13534
0.912418,0.611835,-1.13534
0.913392,0.611064,-1.13534
0.914371,0.610289,-1.13534
0.915354,0.60951,-1.13534
0.916357,0.608715,-1.13534
0.917339,0.607935,-1.12556
0.918338,0.607142,-1.12556
0.919332,0.606351,-1.12556
0.920346,0.605545,-1.12556
0.921338,0.604755,-1.12556
0.922336,0.60396,-1.12556
0.923339,0.60316,-1.12556
0.924481,0.602249,-1.12556
0.925347,0.601558,-1.11938
0.926376,0.600735,-1.11938
0.927332,0.59997,-1.11938
0.928573,0.598978,-1.11938
0.929399,0.598316,-1.11938
0.930394,0.597518,-1.11938
0.931397,0.596714,-1.11938
0.932406,0.595904,-1.11938
0.933369,0.59513,-1.11938
0.934338,0.594351,-1.11938
0.935334,0.593549,-1.11938
0.936371,0.592714,-1.11938
